Query_Keword;Bert_Embd_Distance_from_music
reaction;0.69528246
lyrics;0.77521086
;0.724935
instrumental;0.8578753
karaoke;0.6264609
text;0.7087836
cover;0.73382336
remix;0.7275944
live;0.725179
piano;0.5043601
extended version;0.67881066
guitar lesson;0.37872374
guitar;0.6815716
acoustic;0.7333609
deutsch;0.59448206
hq;0.6404775
interview;0.5994024
original;0.6824076
guitar cover;0.59944785
chords;0.7912322
piano tutorial;0.35124004
album;0.801527
full album;0.5517778
slowed;0.5641473
bass;0.56968725
subtitulada;0.66137373
official video;0.5883563
remastered;0.6450156
lyrics deutsch;0.65286815
übersetzung;0.50084215
deutsche übersetzung;0.41387823
